Date;Open;High;Low;Close;Buy
13/05/2022 00:00;2360000000;2380000000;2300000000;2330000000;Yes
17/05/2022 00:00;2350000000;2410000000;2340000000;2390000000;Yes
18/05/2022 00:00;2420000000;2420000000;2360000000;2400000000;Yes
19/05/2022 00:00;2380000000;2490000000;2340000000;2460000000;Yes
20/05/2022 00:00;2520000000;2520000000;2460000000;2490000000;No
23/05/2022 00:00;2560000000;2670000000;2520000000;2530000000;No
24/05/2022 00:00;2550000000;2600000000;2530000000;2570000000;No
25/05/2022 00:00;2560000000;2580000000;2460000000;2490000000;Yes
27/05/2022 00:00;2510000000;2530000000;2460000000;2470000000;Yes
30/05/2022 00:00;2500000000;2570000000;2470000000;2560000000;No
31/05/2022 00:00;2570000000;2570000000;2500000000;2510000000;Yes
02/06/2022 00:00;2500000000;2560000000;2470000000;2510000000;No
03/06/2022 00:00;2520000000;2550000000;2500000000;2500000000;Yes
06/06/2022 00:00;2460000000;2490000000;2400000000;2450000000;Yes
07/06/2022 00:00;2450000000;2470000000;2420000000;2420000000;Yes
08/06/2022 00:00;2430000000;2440000000;2400000000;2420000000;Yes
09/06/2022 00:00;2420000000;2450000000;2380000000;2400000000;Yes
10/06/2022 00:00;2370000000;2380000000;2280000000;2290000000;Yes
13/06/2022 00:00;2240000000;2280000000;2200000000;2260000000;Yes
14/06/2022 00:00;2240000000;2260000000;2160000000;2180000000;Yes
15/06/2022 00:00;2180000000;2240000000;2120000000;2170000000;No
16/06/2022 00:00;2200000000;2230000000;2140000000;2150000000;No
17/06/2022 00:00;2120000000;2140000000;2100000000;2110000000;No
20/06/2022 00:00;2110000000;2130000000;2050000000;2070000000;No
21/06/2022 00:00;2080000000;2150000000;2070000000;2150000000;No
22/06/2022 00:00;2140000000;2140000000;2020000000;2020000000;No
23/06/2022 00:00;2020000000;2020000000;1955000000;1965000000;No
24/06/2022 00:00;1950000000;2000000000;1950000000;1970000000;No
27/06/2022 00:00;1970000000;1970000000;1885000000;1890000000;No
28/06/2022 00:00;1890000000;1905000000;1860000000;1865000000;No
29/06/2022 00:00;1855000000;1890000000;1835000000;1835000000;No
30/06/2022 00:00;1850000000;1860000000;1800000000;1800000000;No
01/07/2022 00:00;1795000000;1810000000;1750000000;1750000000;No
04/07/2022 00:00;1750000000;1770000000;1700000000;1720000000;Yes
05/07/2022 00:00;1740000000;1820000000;1740000000;1790000000;No
06/07/2022 00:00;1775000000;1780000000;1710000000;1720000000;No
07/07/2022 00:00;1715000000;1735000000;1700000000;1720000000;Yes
08/07/2022 00:00;1725000000;1755000000;1710000000;1715000000;Yes
11/07/2022 00:00;1720000000;1730000000;1705000000;1720000000;No
12/07/2022 00:00;1720000000;1770000000;1720000000;1740000000;No
13/07/2022 00:00;1740000000;1755000000;1715000000;1720000000;No
14/07/2022 00:00;1720000000;1725000000;1640000000;1650000000;Yes
15/07/2022 00:00;1600000000;1605000000;1535000000;1540000000;No
18/07/2022 00:00;1575000000;1595000000;1550000000;1560000000;Yes
19/07/2022 00:00;1580000000;1665000000;1575000000;1655000000;Yes
20/07/2022 00:00;1680000000;1700000000;1670000000;1695000000;No
21/07/2022 00:00;1695000000;1710000000;1665000000;1675000000;Yes
22/07/2022 00:00;1690000000;1785000000;1690000000;1780000000;No
25/07/2022 00:00;1800000000;1825000000;1735000000;1755000000;No
26/07/2022 00:00;1755000000;1800000000;1755000000;1790000000;No
27/07/2022 00:00;1780000000;1790000000;1770000000;1785000000;No
28/07/2022 00:00;1815000000;2030000000;1805000000;2000000000;No
29/07/2022 00:00;2020000000;2070000000;1945000000;1955000000;Yes
01/08/2022 00:00;2030000000;2100000000;1990000000;2080000000;No
02/08/2022 00:00;2080000000;2080000000;1990000000;1995000000;Yes
03/08/2022 00:00;1975000000;1990000000;1915000000;1970000000;Yes
04/08/2022 00:00;1980000000;2020000000;1950000000;1970000000;Yes
05/08/2022 00:00;2000000000;2030000000;1970000000;2020000000;No
08/08/2022 00:00;2010000000;2070000000;1985000000;2060000000;No
09/08/2022 00:00;2080000000;2230000000;2070000000;2180000000;No
10/08/2022 00:00;2180000000;2180000000;2110000000;2120000000;Yes
11/08/2022 00:00;2200000000;2270000000;2180000000;2240000000;No
12/08/2022 00:00;2240000000;2270000000;2210000000;2220000000;No
15/08/2022 00:00;2230000000;2240000000;2120000000;2130000000;Yes
16/08/2022 00:00;2130000000;2140000000;2070000000;2080000000;Yes
18/08/2022 00:00;2070000000;2110000000;2030000000;2050000000;Yes
19/08/2022 00:00;2050000000;2090000000;2030000000;2060000000;No
